,Location,Longitude,Latitude,Suburb,States,Drive.Through,Appointment
20,Ballina Sullivan Nicolaides Pathology,153.559368,-28.868827,Ballina,New South Wales,No,No
21,Balranald Drive-through Pop-up Clinic,143.5627158,-34.63335511,Balranald ,New South Wales,Yes,No
22,Bankstown 4Cyte Pathology Drive-through Clinic,151.032748,-33.914917,Bankstown,New South Wales,Yes,No
23,Bankstown Laverty Pathology,151.032726,-33.914691,Bankstown,New South Wales,No,No
24,Bankstown-Lidcombe Hospital,151.020979,-33.933096,Bankstown,New South Wales,No,No
25,Bankwest Stadium Drive-through Clinic,151.0012034,-33.80737074,Parramatta,New South Wales,Yes,No
26,Baradine Multi-Purpose Service,149.0665115,-30.94503216,Baradine,New South Wales,No,Yes
27,Barden Ridge Histopath Pathology Drive-through Clinic,150.994792,-34.03324,Barden Ridge,New South Wales,Yes,No
28,Bargo Medlab Pathology Walk-in Clinic,150.5817626,-34.29452718,Bargo,New South Wales,No,No
29,Barrack Heights Laverty Pathology Drive-through Clinic,150.847656,-34.557565,Barrack Heights,New South Wales,Yes,No
30,Bass Hill Histopath Pathology Drive-through Clinic,150.9989037,-33.90717836,Bass Hill,New South Wales,Yes,No
31,Bateau Bay Clinical Labs Pathology,151.473362,-33.377184,Bateau Bay,New South Wales,Yes,Yes
32,Batemans Bay Southern.IML.Pathology Drive-through Clinic,150.1945334,-35.72190598,Batemans Bay,New South Wales,Yes,No
33,Bathurst Base Hospital,149.5722696,-33.40617612,Bathurst,New South Wales,No,No
34,Bathurst Laverty Pathology Drive-through Clinic,149.5583433,-33.43939074,Mount Panorama,New South Wales,Yes,No
35,Bathurst Respiratory Clinic,149.564714,-33.428562,Bathurst,New South Wales,No,Yes
36,Beecroft Respiratory Clinic,151.065578,-33.748818,Beecroft,New South Wales,No,Yes
37,Bega Capital Pathology,149.845691,-36.674435,Bega,New South Wales,No,Yes
38,Bega Valley Health Service Drive-through Clinic,149.8584412,-36.6889334,Bega,New South Wales,Yes,No
39,Bella Vista Clinical Labs Pathology Drive-through Clinic,150.9473992,-33.73650896,Bella Vista,New South Wales,Yes,Yes
40,Bellingen Drive-through Clinic,152.8969376,-30.4557107,Bellingen,New South Wales,Yes,No
41,Belmont 4Cyte Pathology Drive-through Clinic,151.6660508,-33.03272186,Belmont,New South Wales,Yes,No
42,Belmont Hospital Drive-through Clinic,151.648457,-33.025355,Belmont,New South Wales,Yes,Yes
43,Belmore Medical Respiratory Clinic,151.0901489,-33.9205457,Belmore,New South Wales,No,Yes
44,Berala Medlab Pathology Walk-in Clinic,151.0347472,-33.86895074,Berala,New South Wales,No,No
45,Berkeley Southern.IML Pathology Drive-through Clinic,150.834846,-34.47872925,Berkeley,New South Wales,Yes,No
46,Bingara Multi-Purpose Service Drive-through,150.5796668,-29.8643659,Bingara,New South Wales,Yes,Yes
47,Blacktown 4Cyte Pathology Drive-through and Walk-in Clinic,150.9105936,-33.76560597,Blacktown,New South Wales,Yes,No
48,Blacktown 4Cyte Pathology Drive-through Clinic,150.914186,-33.773638,Blacktown,New South Wales,Yes,No
49,Blacktown Hospital,150.917045,-33.775686,Blacktown,New South Wales,No,No
50,Blacktown International Sportspark Laverty Pathology Drive-through Clinic,150.8566266,-33.77392966,Rooty Hill,New South Wales,Yes,No
51,Blacktown Respiratory Clinic,150.9046629,-33.7690788,Blacktown,New South Wales,No,Yes
52,Blacktown Showground Douglass Hanly Moir Pathology Drive-through Clinic,150.901518,-33.763759,Blacktown,New South Wales,Yes,No
53,Blaxland Douglas Hanly Moir Pathology Drive-through Clinic,150.6086546,-33.75075027,Blaxland,New South Wales,Yes,No
54,Blayney Drive-through Clinic,149.2506788,-33.5377283,Blayney,New South Wales,Yes,Yes
55,Blue Mountains Hospital Drive-through Clinic,150.320932,-33.704937,Katoomba,New South Wales,Yes,No
56,Boggabri Multi-Purpose Service,150.0415516,-30.71210182,Boggabri,New South Wales,No,Yes
57,Bomaderry Histopath Pathology Drive-through Clinic,150.6010711,-34.84630777,Bomaderry,New South Wales,Yes,No
58,Bombala Multi-Purpose Service,149.2412621,-36.91336316,Bombala,New South Wales,No,Yes
59,Bombala Multi-Purpose Service,149.235577,-36.917371,Bombala,New South Wales,No,Yes
60,Bondi Beach Drive-through Clinic,151.277201,-33.890344,Bondi Beach,New South Wales,Yes,No
61,Bondi Junction 4Cyte Pathology Walk-in Clinic,151.2477432,-33.8939983,Bondi Junction,New South Wales,No,No
62,Bondi Junction Laverty Pathology Drive-through and Walk-in Clinic,151.2526574,-33.89259507,Bondi Junction,New South Wales,Yes,No
63,Bondi Junction Respiratory Clinic,151.2466185,-33.8925119,Bondi Junction,New South Wales,No,Yes
64,Boolaroo 4Cyte Pathology Drive-through Clinic,151.6241618,-32.95979899,Boolaroo,New South Wales,Yes,Yes
65,Boronia Park Clinical Labs Pathology Drive-through Clinic,151.139395,-33.82411338,Hunters Hill,New South Wales,Yes,No
66,Bossley Park Laverty Pathology Drive-through Clinic,150.8807524,-33.86435799,Bossley Park,New South Wales,Yes,No
67,Bourke Multi-Purpose Service,145.9426115,-30.09314663,Bourke,New South Wales,No,Yes
68,Bowral and District Hospital,150.42342,-34.484507,Bowral,New South Wales,No,No
69,Brewarrina Multi-Purpose Service,146.8651838,-29.96150527,Brewarrina,New South Wales,No,No
70,Broadmeadow Laverty Pathology Drive-through Clinic,151.7260133,-32.91743808,Broadmeadow,New South Wales,Yes,No
71,Broken Hill (Maari Ma Health Service) Respiratory Clinic,141.46906,-31.9563697,Broken Hill,New South Wales,No,Yes
72,Broken Hill Alma Oval Drive-through and Walk-in Clinic,141.4607107,-31.98204817,Broken Hill,New South Wales,Yes,No
73,Broken Hill Memorial Oval Drive-through Clinic                      ,141.4491793,-31.95480882,Broken Hill,New South Wales,Yes,No
74,Broken Hill Royal Flying Doctor's Service Respiratory Clinic,141.4706373,-31.99783824,Broken Hill,New South Wales,No,Yes
75,Brookvale Community Health Centre Clinic,151.26869,-33.767639,Brookvale,New South Wales,No,No
76,Bulli Laverty Pathology Drive-through Clinic,150.9108401,-34.32991413,Bulli,New South Wales,Yes,No
77,Burwood 4Cyte Pathology Walk-in Clinic,151.1039535,-33.87820347,Burwood,New South Wales,No,No
78,Burwood Histopath Pathology Drive-through Clinic,151.1059087,-33.87450724,Burwood,New South Wales,Yes,No
79,Burwood Laverty Pathology Drive-through Clinic,151.1050137,-33.8728154,Burwood,New South Wales,Yes,No
80,Byron Bay Sullivan Nicolaides Pathology,153.613363,-28.643112,Byron Bay,New South Wales,No,No
81,Byron Central Hospital,153.5558978,-28.6373653,Ewingsdale,New South Wales,No,No
82,Cabramatta Medlab Pathology Walk-in Clinic,150.9393916,-33.89211718,Cabramatta,New South Wales,No,No
83,Calvary Mater Newcastle Hospital,151.720935,-32.89861,Waratah,New South Wales,No,No
84,Camden 4Cyte Pathology Drive-through Clinic,150.6951278,-34.07301437,Camden,New South Wales,Yes,No
85,Camden Hospital Walk-in Clinic,150.693698,-34.062573,Camden,New South Wales,No,No
86,Campbelltown 4Cyte Drive-through Clinic,150.8127551,-34.0743247,Campbelltown,New South Wales,Yes,No
87,Campbelltown Histopath Pathology Drive-through Clinic,150.787544,-34.068295,Campbelltown,New South Wales,Yes,No
88,Campbelltown Hospital,150.8040357,-34.0779955,Campbelltown,New South Wales,No,No
89,Campbelltown Respiratory Clinic,150.8124686,-34.0682525,Campbelltown,New South Wales,No,Yes
90,Campbelltown/Leumeah Histopath Pathology Drive-through Clinic,150.831223,-34.049327,Leumeah,New South Wales,Yes,No
91,Campsie 4Cyte Pathology Walk-in,151.1023779,-33.91400107,Campsie,New South Wales,No,No
92,Campsie Clinical Labs Pathology,151.103775,-33.914526,Campsie,New South Wales,No,No
93,Campsie MedLab Pathology Walk-in Clinic,151.1041785,-33.90820072,Campsie,New South Wales,No,No
94,Canowindra Soldier's Memorial Hospital,148.6724924,-33.55740389,Canowindra,New South Wales,No,Yes
95,Canterbury Hospital,151.0979456,-33.9203632,Campsie,New South Wales,No,No
96,Caringbah 4Cyte Pathology Walk-in Clinic,151.1181955,-34.03745672,Caringbah,New South Wales,No,No
97,Caringbah Histopath Pathology Walk-in Clinic,151.121074,-34.04158,Caringbah,New South Wales,No,No
98,Carlingford Drive-through Clinic,151.036729,-33.763137,Carlingford,New South Wales,Yes,No
99,Carlton 4Cyte Pathology Drive-through Clinic,151.1281963,-33.97414087,Carlton,New South Wales,Yes,No
100,Casino 4Cyte Pathology Drive-through Clinic,153.0539915,-28.86638998,Casino,New South Wales,Yes,No
101,Casino Respiratory Clinic,153.046233,-28.864818,Casino ,New South Wales,No,Yes
102,Casino Sullivan Nicolaides Pathology,153.0502,-28.862362,Casino,New South Wales,No,No
103,Castle Hill Clinical Labs Pathology Drive-through Clinic,150.98582,-33.724302,Castle Hill,New South Wales,Yes,No
104,Castle Hill Respiratory Clinic,151.0045571,-33.73293266,Castle Hill,New South Wales,No,Yes
105,Central Railway Station Clinic,151.2067907,-33.88237561,Haymarket,New South Wales,No,No
106,Cessnock Hospital Drive-through Clinic,151.3484795,-32.8278047,Cessnock,New South Wales,Yes,Yes
107,Cessnock Laverty Pathology Drive-through Clinic,151.340712,-32.83047848,Cessnock,New South Wales,Yes,No
108,Charlestown Clinical Labs Pathology Drive-through Clinic,151.7051015,-32.97251794,Charlestown,New South Wales,Yes,No
109,Charmhaven 4Cyte Pathology Drive-through Clinic,151.5019839,-33.23063305,Charmhaven,New South Wales,Yes,No
110,Cherrybrook/West Pennant Hills Histopath Pathology Drive-through Clinic,151.035532,-33.744399,West Pennant Hills,New South Wales,Yes,No
111,Chester Hill Laverty Pathology,151.002594,-33.882177,Chester Hill,New South Wales,No,No
112,Chester Hill Respiratory Clinic,150.9959262,-33.87699692,Chester Hill,New South Wales,No,Yes
113,Chifley Histopath Pathology Drive-through Clinic,151.2380973,-33.97435,Chifley ,New South Wales,Yes,No
114,Clarendon Clinical Labs Pathology Drive-through Clinic,150.7823308,-33.60875638,Clarendon,New South Wales,Yes,No
115,Cobar Multi-Purpose Service,145.825443,-31.50972164,Cobar,New South Wales,No,No
116,Cobar Respiratory Clinic,145.8373964,-31.5006037,Cobar,New South Wales,No,Yes
117,Coffs Harbour - Park Beach Plaza Sullivan Nicolaides Pathology,153.131515,-30.28277,Coffs Harbour,New South Wales,No,Yes
118,Coffs Harbour Drive-through Clinic,153.0946608,-30.32319461,Coffs Harbour,New South Wales,Yes,No
119,Coffs Harbour Sullivan Nicolaides Pathology,153.115945,-30.301097,Coffs Harbour,New South Wales,No,No
120,Collarenebri Multi-Purpose Service,148.5807267,-29.51886491,Collarenebri,New South Wales,No,Yes
121,Concord Histopath Pathology Walk in and Drive-through Clinic,151.097721,-33.84583821,Concord,New South Wales,Yes,No
122,Concord Hospital,151.091991,-33.836616,Concord West,New South Wales,No,No
123,Condobolin Health Service,147.1550734,-33.08193509,Condoblin,New South Wales,No,No
124,Coogee Laverty Pathology Walk-in and Drive-through Clinic,151.259825,-33.91384825,Coogee,New South Wales,Yes,No
125,Coolah Multi-Purpose Service,149.7154627,-31.82297615,Coolah,New South Wales,No,No
126,Cooma Capital Pathology,149.12269,-36.236483,Cooma,New South Wales,No,Yes
127,Cooma Drive-through Clinic,149.1216509,-36.2393511,Cooma,New South Wales,Yes,No
128,Coomealla Drive-through Pop-up Clinic,142.0430839,-34.09106712,Coomealla,New South Wales,Yes,No
129,Coonabarabran Health Service Drive-through Clinic,149.282839,-31.27438079,Coonabarabran,New South Wales,Yes,No
130,Coonamble Multi-Purpose Service,149.2849636,-31.27443599,Coonamble,New South Wales,No,Yes
131,Cootamundra Hospital,148.013014,-34.634499,Cootamundra,New South Wales,No,Yes
132,Cowra Health Service,148.6917935,-33.83246783,Cowra,New South Wales,No,Yes
133,Cowra Respiratory Clinic,148.6951241,-33.8356693,Cowra,New South Wales,No,Yes
134,Cromer Park Histopath Pathology Drive-through Clinic,151.2838948,-33.7389474,Cromer,New South Wales,Yes,No
135,Crookwell Hospital,149.467909,-34.465537,Crookwell,New South Wales,No,Yes
136,Culburra Beach Histopath Pathology Drive-through Pop-up Clinic,150.7617709,-34.91067354,Culburra Beach,New South Wales,Yes,No
137,Dee Why Respiratory Clinic,151.2828551,-33.7556633,Dee Why,New South Wales,No,Yes
138,Deniliquin District Hospital,144.9632084,-35.52413121,Deniliquin,New South Wales,No,No
139,Deniliquin Respiratory Clinic,144.9619663,-35.5252972,Deniliquin,New South Wales,No,Yes
140,Doyalson Wyee RSL Club Douglass Hanly Moir Pathology Drive-through Clinic,151.5263217,-33.19726443,Doyalson,New South Wales,Yes,No
141,Drummoyne Laverty Pathology Drive-through Clinic,151.1621269,-33.85548672,Drummoyne,New South Wales,Yes,No
142,Dubbo Histopath Pathology Drive-through Clinic,148.6141159,-32.24767316,Dubbo,New South Wales,Yes,No
143,Dubbo Manera Plaza Walk-in Clinic,148.6253494,-32.24204849,Dubbo,New South Wales,No,No
144,Dubbo Respiratory Clinic,148.6028915,-32.2504375,Dubbo,New South Wales,No,Yes
145,Dubbo Showground Pop-up Clinic,148.6138519,-32.25023738,Dubbo,New South Wales,No,No
146,Dunedoo Multi-purpose Service,149.3944684,-32.01706914,Dunedoo,New South Wales,No,Yes
147,Dungog 4Cyte Pathology Drive-through Clinic,151.752946,-32.40212038,Dungog,New South Wales,Yes,Yes
148,Earlwood Laverty Pathology,151.127193,-33.926089,Earlwood,New South Wales,No,No
149,East Maitland 4Cyte Pathology Drive-through Clinic,151.580887,-32.751562,East Maitland,New South Wales,Yes,No
150,Eastwood Laverty Pathology,151.0813813,-33.79219861,Eastwood,New South Wales,No,No
151,Edensor Park Histopath Pathology Drive-through Clinic,150.888053,-33.88278,Edensor Park,New South Wales,Yes,No
152,Emerald Hills Clinical Labs Pathology Drive-through Clinic,150.792234,-33.996384,Leppington,New South Wales,Yes,No
153,Emerton Drive-through Clinic,150.8095768,-33.74269002,Emerton,New South Wales,Yes,No
154,Engadine Laverty Pathology,151.011775,-34.064151,Engadine,New South Wales,No,No
155,Erina Respiratory Clinic,151.401807,-33.434659,Erina,New South Wales,No,Yes
156,Evans Head Sullivan Nicolaides Pathology,153.430421,-29.117903,Evans Head,New South Wales,No,No
157,Fairfield GP Respiratory Clinic,150.95462,-33.869351,Fairfield,New South Wales,No,Yes
158,Fairfield Histopath Pathology Drive-through and Walk-in Clinic,150.9575941,-33.87269441,Fairfield,New South Wales,Yes,No
159,Fairfield Hospital,150.904772,-33.859839,Prairiewood,New South Wales,No,No
160,Fairfield Showground SydPath Drive-through Clinic,150.906986,-33.868158,Prairiewood,New South Wales,Yes,No
161,Fairfield West Laverty Pathology Pop-up Drive-through Clinic,150.9312996,-33.87640464,Fairfield West,New South Wales,Yes,No
162,Fairy Meadow Southern.IML Pathology Drive-through Clinic,150.9040006,-34.39105519,Fairy Meadow,New South Wales,Yes,No
163,Figtree Laverty Pathology Drive-through Clinic,150.8637116,-34.4351855,Figtree,New South Wales,Yes,No
164,Forbes Hospital,148.0140689,-33.39578961,Forbes,New South Wales,No,Yes
165,Forster Douglass Hanly Moir Pathology Walk-in Clinic,152.5166162,-32.18920478,Forster,New South Wales,No,No
166,Forster Laverty Pathology,152.514495,-32.189026,Forster,New South Wales,No,Yes
167,Frenchs Forest 4Cyte Pathology Clinic,151.223654,-33.749078,Frenchs Forest,New South Wales,No,No
168,Frenchs Forest MedLab Pathology,151.23145,-33.752633,Frenchs Forest,New South Wales,No,No
169,Gateshead Laverty Pathology Drive-through Clinic,151.6900816,-32.98985217,Gateshead,New South Wales,Yes,No
170,Gerringong 4Cyte Pathology Drive-through Clinic,150.8279696,-34.7476414,Gerringong ,New South Wales,Yes,Yes
171,Gilgandra Multi-Purpose Service Drive-through Clinic,148.6558646,-31.7041871,Gilgandra,New South Wales,Yes,Yes
172,Girraween Medlab Pathology Drive-through and Walk-in Clinic,150.9383803,-33.79954744,Girraween,New South Wales,Yes,No
173,Gledswood Hill Medlab Pathology Walk-in Clinic,150.7677531,-34.02035956,Gledswood Hills,New South Wales,No,No
174,Glen Innes Hospital Drive-through Clinic,151.7318937,-29.7336899,Glen Innes,New South Wales,Yes,No
175,Gol Gol Drive-through Pop-up Clinic,142.1960044,-34.17643617,Gol Gol,New South Wales,Yes,No
176,Goodooga Health Service,147.4556241,-29.11083739,Goodooga,New South Wales,No,No
177,Gosford 4Cyte Pathology Drive-through Clinic,151.336033,-33.394441,Narara,New South Wales,Yes,No
178,Gosford Hospital,151.3394105,-33.4203006,Gosford,New South Wales,No,No
179,Goulburn Base Hospital,149.7131853,-34.7478657,Goulburn,New South Wales,No,No
180,Goulburn Capital Pathology Drive-Through Clinic,149.7083241,-34.76147188,Goulburn,New South Wales,Yes,No
181,Goulburn Laverty Pathology Drive-through Clinic,149.7105379,-34.75136075,Goulburn,New South Wales,Yes,No
182,Grafton Base Hospital,152.9406223,-29.6754432,Grafton,New South Wales,No,No
183,Grafton South Sullivan Nicolaides Pathology,152.938676,-29.706288,South Grafton,New South Wales,No,No
184,Granville Clinical Labs Pathology Drive-through Clinic,151.012729,-33.830415,Granville,New South Wales,Yes,No
185,Granville Laverty Pathology Pop-up Drive-through Clinic,151.0122799,-33.83532179,Granville,New South Wales,Yes,No
186,Greenacre Medlab Pathology Walk-in Clinic,151.0573766,-33.90664706,Greenacre,New South Wales,No,No
187,Grenfell Drive-through Clinic,148.167338,-33.894345,Grenfell,New South Wales,Yes,Yes
188,Griffith Laverty Pathology Drive-through Clinic,146.0315677,-34.29100138,Griffith,New South Wales,Yes,No
189,Griffith Respiratory Clinic,146.0434191,-34.284261,Griffith,New South Wales,No,Yes
190,Griffith Testing Clinic,146.0481569,-34.2896958,Griffith,New South Wales,No,No
191,Guildford Library Medlab Pathology Walk-in Clinic,150.9862239,-33.85292749,Guilford,New South Wales,Yes,No
192,Guildford Pool Car Park Pop-up Clinic,150.9740035,-33.85212965,Guildford,New South Wales,Yes,No
193,Gulgong Multi-Purpose Service,149.522014,-32.3669112,Guglong,New South Wales,No,Yes
194,Gundagai Respiratory Clinic,148.0928022,-35.0852781,Gundagai,New South Wales,No,Yes
195,Gunnedah Hospital,150.2514241,-30.982046,Gunnedah,New South Wales,No,Yes
196,Gunnedah Laverty Pathology Drive-through Clinic,150.250659,-30.97327459,Gunnedah,New South Wales,Yes,No
197,Guyra Multipurpose Service Drive-through Clinic,151.6791647,-30.21243487,Guyra,New South Wales,Yes,No
198,Haberfield 4Cyte Pathology Drive-through Clinic,151.1336653,-33.88239596,Haberfield,New South Wales,Yes,No
199,Hammondville 4Cyte Pathology Drive-through and Walk-in Clinic ,150.9567641,-33.95528973,Hammondville,New South Wales,Yes,No
200,Hawkesbury/Windsor Clinical Labs Pathology Drive-through Clinic,150.820384,-33.6135,Windsor,New South Wales,Yes,No
201,Hay Hospital Clinic,144.8569286,-34.50190876,Hay,New South Wales,No,Yes
202,Hazelbrook Respiratory Clinic,150.4540016,-33.7217326,Hazelbrook,New South Wales,No,Yes
203,Heathcote Histopath Pathology Drive-through Clinic,151.0057911,-34.09184955,Heathcote,New South Wales,Yes,No
204,Helensburgh Respiratory Clinic,150.9810578,-34.191041,Helensburgh,New South Wales,No,Yes
205,Hinchinbrook 4Cyte Pathology Drive-through and Walk-in Clinic,150.8690417,-33.9256578,Hinchinbrook,New South Wales,Yes,No
206,Hornsby Clinical Labs Pathology Drive-through Clinic,151.0982496,-33.70133849,Hornsby,New South Wales,Yes,No
207,Hornsby Ku-ring-gai Hospital,151.1137505,-33.70244801,Hornsby,New South Wales,No,No
208,Hurstville 4Cyte Pathology Walk-in Clinic,151.103134,-33.968307,Hurstville,New South Wales,No,No
209,Hurstville Community Health Care,151.102842,-33.969423,Hurstville,New South Wales,No,No
210,Hurstville Laverty Pathology Walk-in Clinic,151.1019563,-33.96772852,Hurstville,New South Wales,No,No
211,Huskisson Drive-through Clinic,150.6649809,-35.03503428,Huskisson,New South Wales,Yes,No
212,Ingleburn Laverty Pathology,150.866831,-33.999279,Ingleburn,New South Wales,No,No
213,Inner West Respiratory Clinic,151.1750756,-33.8581685,Balmain,New South Wales,No,Yes
214,Inverell Hospital Drive-through Clinic,151.129266,-29.7706031,Inverell,New South Wales,Yes,No
215,Inverell Laverty Pathology Drive-through Clinic,151.1228482,-29.79242407,Inverell,New South Wales,Yes,No
216,Ivanhoe Drive-through Pop-up Clinic,144.3015669,-32.89606867,Ivanhoe,New South Wales,Yes,No
217,Jannali Laverty Pathology Drive-through Clinic,151.066879,-34.016411,Jannali,New South Wales,Yes,No
218,John Hunter Hospital,151.69275,-32.922687,New Lambton Heights,New South Wales,No,No
219,Kanwal Laverty Pathology Drive-through Clinic,151.49579,-33.251904,Kanwal,New South Wales,Yes,No
220,Kempsey Respiratory Clinic,152.8396531,-31.0799732,Kempsey,New South Wales,No,Yes
221,Kempsey Riverside Park Drive-through and Walk-in Clinic,152.8413496,-31.08293348,Kempsey,New South Wales,Yes,No
222,Kenthurst Pop-up Clinic,151.0130407,-33.68774986,Kenthurst,New South Wales,No,No
223,Kiama Laverty Pathology Drive-through Clinic,150.8477658,-34.66581951,Kiama,New South Wales,Yes,No
224,Killara Histopath Pathology Drive-through Clinic,151.164548,-33.767487,Killara,New South Wales,Yes,No
225,Kincumber Laverty Pathology Drive-through Clinic,151.3923049,-33.46977464,Kincumber,New South Wales,Yes,No
226,Kingsgrove Medlab Pathology Walk-in Clinic,151.0983965,-33.94312631,Kingsgrove,New South Wales,No,No
227,Kingswood Clinical Labs Pathology Drive-though Clinic,150.7132083,-33.77549487,Kingswood,New South Wales,Yes,No
228,"Kirketon Road Centre Mobile Clinic, Eastlakes",151.2144557,-33.92580833,Eastlakes,New South Wales,No,No
229,"Kirketon Road Centre Mobile Clinic, Malabar",151.2474544,-33.9742547,Malabar,New South Wales,No,No
230,"Kirketon Road Centre Mobile Clinic, Martin Place",151.2111792,-33.8677809,Sydney,New South Wales,No,No
231,"Kirketon Road Centre Mobile Clinic, Redfern",150.6729235,-32.922687,Redfern,New South Wales,No,No
232,"Kirketon Road Centre Mobile Clinic, Surry Hills",151.2115281,-33.888478,Surry Hills,New South Wales,No,No
233,"Kirketon Road Centre Mobile Clinic, Woolloomooloo",151.219495,-33.872891,Woolloomooloo,New South Wales,No,No
234,Kyogle Sullivan Nicolaides Pathology,153.001736,-28.627008,Kyogle,New South Wales,No,No
235,Lakemba Respiratory Clinic,151.0774665,-33.9211832,Lakemba,New South Wales,No,No
236,Leeton District Hospital,146.409261,-34.545747,Leeton,New South Wales,No,No
237,Lennox Head Sullivan Nicolaides Pathology,153.593257,-28.796357,Lennox Head,New South Wales,No,No
238,Lidcombe Drive-through Clinic,151.0508422,-33.88479304,Lidcombe,New South Wales,Yes,No
239,Lidcombe Medlab Pathology Drive-through and and Walk-in Clinic,151.0412837,-33.85991919,Lidcombe,New South Wales,Yes,No
240,Lightning Ridge Multi-Purpose Service Emergency Department,147.9824472,-29.42980629,Lighning Ridge,New South Wales,No,No
241,Lismore 4Cyte Pathology Drive-through Clinic,153.2824323,-28.80626056,Lismore,New South Wales,Yes,No
242,Lismore Base Hospital,153.292001,-28.808889,Lismore,New South Wales,No,No
243,Lismore Sullivan Nicolaides Pathology,153.285175,-28.819371,Lismore,New South Wales,No,No
244,Lithgow Hospital,150.12742,-33.498704,Lithgow,New South Wales,No,No
245,Liverpool 4Cyte Walk-in Clinic,150.911607,-33.916223,Liverpool,New South Wales,No,No
246,Liverpool Clinical Labs Pathology Drive-through Clinic,150.925499,-33.925853,Liverpool,New South Wales,Yes,No
247,Liverpool Douglass Hanly Moir Pathology Drive-through Clinic,150.914892,-33.925006,Liverpool,New South Wales,Yes,No
248,Liverpool Drive-through Clinic,150.9144787,-33.92493398,Liverpool,New South Wales,Yes,No
249,Liverpool Laverty Pathology Drive-through Clinic,150.9116131,-33.91566422,Liverpool,New South Wales,Yes,No
250,Liverpool Medlab Pathology Drive-through Clinic,150.913792,-33.9251766,Liverpool,New South Wales,Yes,No
251,Macksville Drive-through Clinic,152.9295521,-30.71070882,Macksville,New South Wales,Yes,No
252,Macquarie Fields Pop-up Clinic,150.8902193,-33.98622017,Macquarie Fields,New South Wales,No,No
253,Macquarie Park Douglass Hanly Moir Pathology Drive-through Clinic,151.122811,-33.785228,Macquarie Park,New South Wales,Yes,No
254,Maitland Hospital,151.545399,-32.72574,Maitland,New South Wales,No,Yes
255,Manly Clinical Labs Pathology,151.2889222,-33.79874469,Manly,New South Wales,No,No
256,Manning Hospital Drive-through Clinic,152.4554108,-31.9103977,Taree,New South Wales,Yes,Yes
257,Maroubra / Heffron Park Histopath Pathology Drive-through Clinic,151.2318157,-33.94915799,Maroubra,New South Wales,Yes,No
258,Marrickville Laverty Pathology Walk-in Clinic,151.154974,-33.9099778,Marrickville,New South Wales,No,No
259,Marrickville MedLab Pathology Walk-in Clinic,151.1556787,-33.91006318,Marrickville,New South Wales,No,No
260,Marsden Park Clinical Labs Drive-through Pathology Clinic,150.8417607,-33.72520872,Marsden Park,New South Wales,Yes,No
261,Mascot Laverty Pathology Drive-through Clinic,151.186724,-33.930947,Mascot,New South Wales,Yes,No
262,Mascot Sydney International Airport Histopath Pathology Drive-through Clinic,151.163993,-33.934048,Mascot,New South Wales,Yes,No
263,Menindee Drive-through Pop-up Clinic,142.4176424,-32.3920713,Menindee,New South Wales,Yes,No
264,Merriwa Multipurpose Service,150.3611188,-32.14171533,Merriwa,New South Wales,No,Yes
265,Merrylands 4Cyte Pathology Drive-through Clinic,150.9891459,-33.83425645,Merrylands,New South Wales,Yes,No
266,Merrylands Park Drive-through Clinic,150.9782738,-33.83134825,Merrylands,New South Wales,Yes,No
